Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,Jose Abreu(CWS),46,Matt Olson(OAK),40,J.D. Martinez(BOS),39,125,Michael A. Taylor(KC),22
Dave,Manny Machado(SD),33,Nolan Arenado(STL),38,Yordan Alvarez(HOU),28,99,Paul Goldschmidt(STL),29
Kevin,Pete Alonso(NYM),24,Fernando Tatis Jr.(SD),39,Ronald Acuna Jr.(ATL),35,98,Mike Moustakas(CIN),13
Efran,Gleyber Torres(NYY),22,Javier Baez(CHC),39,Jose Ramirez(CLE),31,92,Trea Turner(WSH),28
Angelo,Vladimir Guerrero Jr.(TOR),47,Francisco Lindor(NYM),13,Aaron Judge(NYY),31,91,George Springer(TOR),3
Tom,Marcell Ozuna(ATL),26,Eugenio Suarez(CIN),28,Charlie Blackmon(COL),32,86,Jorge Soler(KC),24
Rob,Bryce Harper(PHI),14,Rafael Devers(BOS),48,Michael Conforto(NYM),13,75,Giancarlo Stanton(NYY),24
Arnie,Juan Soto(WSH),23,Corey Seager(LAD),22,Eddie Rosario(CLE),30,75,Eric Hosmer(SD),30
Gregg,Mike Trout(LAA),18,Mookie Betts(LAD),20,Rhys Hoskins(PHI),35,73,Matt Chapman(OAK),23
Zee,Anthony Rendon(LAA),21,Nelson Cruz(MIN),25,Josh Bell(WSH),24,70,Franmil Reyes(CLE),29
Wie,Freddie Freeman(ATL),31,Christian Yelich(MIL),9,Alex Bregman(HOU),29,69,Kyle Tucker(HOU),35
Randy,Cody Bellinger(LAD),9,Joey Gallo(TEX),26,Xander Bogaerts(BOS),33,68,Carlos Correa(HOU),32
