Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Chris,Mookie Betts(LAD),77,Freddie Freeman(LAD),93,Paul Goldschmidt(STL),112,282,George Springer(TOR),65,̶B̶r̶y̶c̶e̶ ̶H̶a̶r̶p̶e̶r(̶P̶H̶I),̶5̶6
Tom,Vladimir Guerrero(TOR),84,Austin Riley(ATL),90,Kyle Tucker(HOU),99,273,Eugenio Suarez(SEA),84,Tyler O'Neill(STL),58
Rob,Pete Alonso(NYM),114,Jose Ramirez(CLE),112,Franmil Reyes(CHC),42,268,Jared Walsh(LAA),44,Eloy Jimenez(CWS),46
Gregg,Manny Machado(SD),90,Nolan Arenado(STL),98,Josh Bell(SD),68,256,Bo Bichette(TOR),88,̶G̶i̶a̶n̶c̶a̶r̶l̶o̶ ̶S̶t̶a̶n̶t̶o̶n(̶N̶Y̶Y),̶6̶8
Zee,Trea Turner(LAD),97,Luis Robert(CWS),56,Shohei Ohtani(LAA),89,242,̶J̶u̶a̶n̶ ̶S̶o̶t̶o(̶S̶D),̶5̶6,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶L̶A̶A),̶7̶1
Efran,Jorge Polanco(MIN),56,Nick Castellanos(PHI),61,Aaron Judge(NYY),123,240,̶T̶e̶o̶s̶c̶a̶r̶ ̶H̶e̶r̶n̶a̶n̶d̶e̶z(̶T̶O̶R),̶6̶6,Jesus Aguilar(BAL),49
Randy,Rafael Devers(BOS),79,Xander Bogaerts(BOS),67,Rhys Hoskins(PHI),71,217,Alex Bregman(HOU),85,Matt Chapman(TOR),72
Wie,Jose Abreu(CWS),71,Yordan Alvarez(HOU),89,Marcell Ozuna(ATL),50,210,̶O̶z̶z̶i̶e̶ ̶A̶l̶b̶i̶e̶s(̶A̶T̶L),̶3̶5,Javier Baez(DET),57
Kevin,Matt Olson(ATL),91,J.D. Martinez(BOS),53,Carlos Correa(MIN),58,202,̶J̶o̶e̶y̶ ̶G̶a̶l̶l̶o(̶L̶A̶D),̶4̶1,Max Muncy(LAD),62
Brett,Salvador Perez(KC),70,Adam Duvall(ATL),36,Joey Votto(CIN),41,147,Mitch Haniger(SEA),23,Austin Meadows(DET),11
