Name;Age;Position;2021 Team;2021 AB;2021 RBI;2020 Team;2020 AB;2020 RBI;AVG
Abreu, Jose;35;1B;CWS;566;117;CWS;240;60
Hernandez, Teoscar;29;RF;TOR;550;116;TOR;190;34
Devers, Rafael;25;3B;BOS;591;113;BOS;232;43
Duvall, Adam;33;RF;ATL;513;113;ATL;190;33
Olson, Matt;28;1B;OAK;565;111;OAK;210;42
Guerrero Jr., Vladimir;23;1B;TOR;604;111;TOR;221;33
Riley, Austin;25;3B;ATL;590;107;ATL;188;27
Machado, Manny;29;3B;SD;564;106;SD;224;47
Albies, Ozzie;25;2B;ATL;629;106;ATL;118;19
Meadows, Austin;26;LF;TB;518;106;TB;132;13
Arenado, Nolan;31;3B;STL;593;105;COL;182;26
Alvarez, Yordan;24;DH;HOU;537;104;HOU;8;4
Ramirez, Jose;29;3B;CLE;552;103;CLE;219;46
Semien, Marcus;31;2B;TOR;652;102;OAK;211;23
Bichette, Bo;24;SS;TOR;640;102;TOR;123;23
Seager, Kyle;34;3B;SEA;603;101;SEA;203;40
Haniger, Mitch;31;RF;SEA;620;100;NA;NA;NA
Castellanos, Nick;30;RF;CIN;531;100;CIN;218;34
Martinez, J.D.;34;LF;BOS;570;99;BOS;211;27
Lowe, Brandon;27;2B;TB;535;99;TB;193;37
Votto, Joey;38;1B;CIN;448;99;CIN;186;22
Goldschmidt, Paul;34;1B;STL;603;99;STL;191;21
Walsh, Jared;28;1B;LAA;530;98;LAA;99;26
Polanco, Jorge;28;2B;MIN;588;98;MIN;209;19
Judge, Aaron;30;RF;NYY;550;98;NYY;101;22
Tatis Jr., Fernando;23;SS;SD;478;97;SD;224;45
Stanton, Giancarlo;32;DH;NYY;510;97;NYY;76;11
Renfroe, Hunter;30;RF;BOS;521;96;TB;122;22
Soto, Juan;23;RF;WSH;502;95;WSH;154;37
Muncy, Max;31;1B;LAD;497;94;LAD;203;27
Alonso, Pete;27;1B;NYM;561;94;NYM;208;35
Aguilar, Jesus;31;1B;MIA;449;93;MIA;188;34
Tucker, Kyle;25;RF;HOU;506;92;HOU;209;42
Correa, Carlos;27;SS;HOU;555;92;HOU;201;25
Cron, C.J.;32;1B;COL;470;92;DET;42;8
Garcia, Adolis;29;CF;TEX;581;90;TEX;6;0
Escobar, Eduardo;33;2B;MIL;549;90;ARI;203;20
Crawford, Brandon;35;SS;SF;483;90;SF;172;28
Reynolds, Bryan;27;CF;PIT;559;90;PIT;185;19
Mountcastle, Ryan;25;1B;BAL;534;89;BAL;126;23
Swanson, Dansby;28;SS;ATL;588;88;ATL;237;35
Bell, Josh;29;1B;WSH;498;88;PIT;195;22
Baez, Javier;29;SS;NYM;502;87;CHC;222;24
Turner, Justin;37;3B;LAD;533;87;LAD;150;23
Cruz, Nelson;41;DH;TB;513;86;MIN;185;33
Garcia, Avisail;30;RF;MIL;461;86;MIL;181;15
McMahon, Ryan;27;2B;COL;528;86;COL;172;26
Reyes, Franmil;26;RF;CLE;418;85;CLE;211;34
Schoop, Jonathan;30;1B;DET;623;84;DET;162;23
Harper, Bryce;29;RF;PHI;488;84;PHI;190;33
Gurriel Jr., Lourdes;28;LF;TOR;500;84;TOR;208;33
Freeman, Freddie;32;1B;ATL;600;83;ATL;214;53
Altuve, Jose;31;2B;HOU;601;83;HOU;192;18
Gurriel, Yuli;37;1B;HOU;530;81;HOU;211;22
Grichuk, Randal;30;CF;TOR;511;81;TOR;216;35
McCutchen, Andrew;35;LF;PHI;482;80;PHI;217;34
O'Neill, Tyler;26;LF;STL;482;80;STL;139;19
Bogaerts, Xander;29;SS;BOS;529;79;BOS;203;28
Suarez, Eugenio;30;3B;CIN;505;79;CIN;198;38
Blackmon, Charlie;35;RF;COL;514;78;COL;221;42
Dalbec, Bobby;26;1B;BOS;417;78;BOS;80;16
Turner, Trea;28;SS;LAD;595;77;WSH;233;41
Gallo, Joey;28;RF;NYY;498;77;TEX;193;26
Story, Trevor;29;SS;COL;526;75;COL;235;28
Urias, Luis;24;SS;MIL;490;75;MIL;109;11
Cabrera, Miguel;39;1B;DET;472;75;DET;204;35
Sano, Miguel;28;1B;MIN;470;75;MIN;186;25
Merrifield, Whit;33;2B;KC;664;74;KC;248;30
Benintendi, Andrew;27;LF;KC;493;73;BOS;39;1
Bryant, Kris;30;LF;SF;513;73;CHC;131;11
Adames, Willy;26;SS;MIL;497;73;TB;185;23
Taylor, Chris;31;CF;LAD;507;73;LAD;185;32
France, Ty;27;2B;SEA;571;73;TYPE;TYPE;TYPE
Donaldson, Josh;36;3B;MIN;457;72;MIN;81;11
Lowe, Nathaniel;26;1B;TEX;557;72;TB;67;11
Chapman, Matt;29;3B;OAK;529;72;OAK;142;25
Hays, Austin;26;LF;BAL;488;71;BAL;122;9
Mancini, Trey;30;1B;BAL;556;71;NA;NA;NA
Yastrzemski, Mike;31;RF;SF;468;71;SF;192;35
Schwarber, Kyle;29;LF;BOS;399;71;CHC;191;24
Winker, Jesse;28;LF;CIN;423;71;CIN;149;23
Hoskins, Rhys;29;1B;PHI;389;71;PHI;151;26
Cronenworth, Jake;28;2B;SD;567;71;SD;172;20
Soler, Jorge;30;RF;ATL;516;70;KC;149;24
Naquin, Tyler;31;CF;CIN;411;70;CLE;133;20
Santana, Carlos;36;1B;KC;565;69;CLE;206;30
Pollock, AJ;34;LF;LAD;384;69;LAD;196;34
India, Jonathan;25;2B;CIN;532;69;NA;NA;NA
Arozarena, Randy;27;RF;TB;529;69;TB;64;11
Lowrie, Jed;38;2B;OAK;457;69;NA;NA;NA
Candelario, Jeimer;28;3B;DET;557;67;DET;185;29
Grossman, Robbie;32;LF;DET;557;67;OAK;166;23
Happ, Ian;27;CF;CHC;465;66;CHC;198;28
Carlson, Dylan;23;CF;STL;542;65;STL;110;16
Hosmer, Eric;32;1B;SD;509;65;SD;143;36
Diaz, Yandy;30;1B;TB;465;64;TB;114;11
Peralta, David;34;LF;ARI;487;63;ARI;203;34
Farmer, Kyle;31;SS;CIN;483;63;CIN;64;4
Myers, Wil;31;RF;SD;442;63;SD;198;40
Verdugo, Alex;25;CF;BOS;544;63;BOS;201;15
Lindor, Francisco;28;SS;NYM;452;63;CLE;236;27
Hernandez, Cesar;31;2B;CWS;570;62;CLE;233;20
Rosario, Eddie;30;LF;ATL;379;62;MIN;210;42
Grisham, Trent;25;CF;SD;462;62;SD;215;26
Pederson, Joc;30;LF;ATL;429;61;LAD;121;16
Wisdom, Patrick;30;3B;CHC;338;61;CHC;2;0
Rizzo, Anthony;32;1B;NYY;496;61;CHC;203;24
Canha, Mark;33;LF;OAK;519;61;OAK;191;33
Moncada, Yoan;26;3B;CWS;520;61;CWS;200;24
Anderson, Tim;28;SS;CWS;527;61;CWS;208;21
Harrison, Josh;34;2B;OAK;505;60;WSH;79;14
Hernandez, Enrique;30;CF;BOS;508;60;LAD;139;20
Belt, Brandon;34;1B;SF;325;59;SF;149;30
Mullins, Cedric;27;CF;BAL;602;59;BAL;140;12
Smith, Dominic;26;LF;NYM;446;58;NYM;177;42
Segura, Jean;32;2B;PHI;514;58;PHI;192;25
Betts, Mookie;29;RF;LAD;466;58;LAD;219;39
Rosario, Amed;26;SS;CLE;550;57;NYM;143;15
Margot, Manuel;27;RF;TB;421;57;TB;145;11
Seager, Corey;28;SS;LAD;353;57;LAD;212;41
LeMahieu, DJ;33;2B;NYY;597;57;NYY;195;27
Wade Jr., LaMonte;28;LF;SF;336;56;MIN;39;1
Edman, Tommy;26;2B;STL;641;56;STL;204;26
Bregman, Alex;28;3B;HOU;348;55;HOU;153;22
Baddoo, Akil;23;LF;DET;413;55;NA;NA;NA
Conforto, Michael;29;LF;NYM;406;55;NYM;202;31
Marte, Starling;33;CF;OAK;467;55;TYPE;TYPE;TYPE
Taylor, Michael A.;31;CF;KC;483;54;WSH;92;16
Dozier, Hunter;30;3B;KC;487;54;KC;158;12
Gregorius, Didi;32;SS;PHI;368;54;PHI;215;40
Wendle, Joey;32;3B;TB;460;54;TB;168;17
