Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,José Abreu(Chicago),14,Matt Olson(Oakland),15,J.D. Martinez(Boston),21,50,Michael A. Taylor(Kansas City),6
Kevin,Pete Alonso(New York),11,Fernando Tatis Jr.(San Diego),6,Ronald Acuna Jr.(Atlanta),16,33,Mike Moustakas(Cincinnati),5
Arnie,Juan Soto(Washington),8,Corey Seager(Los Angeles),13,Eddie Rosario(Cleveland),10,31,Eric Hosmer(San Diego),14
Dave,Manny Machado(San Diego),9,Nolan Arenado(St. Louis),11,Yordan Álvarez(Houston),8,28,Paul Goldschmidt(St. Louis),9
Rob,Bryce Harper(Philadelphia),8,Rafael Devers(Boston),17,Michael Conforto(New York),3,28,Giancarlo Stanton(New York),14
Efran,Gleyber Torres(New York),2,Javier Baez(Chicago),17,Jose Ramirez(Cleveland),8,27,Trea Turner(Washington),8
Tom,Marcell Ozuna(Atlanta),10,Eugenio Suarez(Cincinnati),7,Charlie Blackmon(Colorado),7,24,Jorge Soler(Kansas City),8
Angelo,Vladimir Guerrero Jr.(Toronto),12,Francisco Lindor(New York),3,Aaron Judge(New York),8,23,George Springer(NO STATS),0
Gregg,Mike Trout(Los Angeles),12,Mookie Betts(Los Angeles),2,Rhys Hoskins(Philadelphia),7,21,Matt Chapman(Oakland),11
Wie,Freddie Freeman(Atlanta),10,Christian Yelich(Milwaukee),1,Alex Bregman(Houston),9,20,Kyle Tucker(Houston),11
Randy,Cody Bellinger(Los Angeles),2,Joey Gallo(Texas),7,Xander Bogaerts(Boston),11,20,Carlos Correa(Houston),10
Zee,Anthony Rendon(Los Angeles),3,Nelson Cruz(Minnesota),14,Josh Bell(Washington),3,20,Franmil Reyes(Cleveland),11
