Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,Jose Abreu(CWS),103,Matt Olson(OAK),89,J.D. Martinez(BOS),85,277,Michael A. Taylor(KC),49
Dave,Manny Machado(SD),89,Nolan Arenado(STL),88,Yordan Alvarez(HOU),89,266,Paul Goldschmidt(STL),82
Rob,Bryce Harper(PHI),63,Rafael Devers(BOS),100,Giancarlo Stanton(NYY),73,236,Michael Conforto(NYM),40
Efran,Trea Turner(LAD),58,Javier Baez(NYM),74,Jose Ramirez(CLE),86,218,Gleyber Torres(NYY),43
Kevin,Pete Alonso(NYM),79,Fernando Tatis Jr.(SD),85,Ronald Acuna Jr.(ATL),52,216,Mike Moustakas(CIN),20
Angelo,Vladimir Guerrero Jr.(TOR),97,Francisco Lindor(NYM),43,Aaron Judge(NYY),75,215,George Springer(TOR),35
Zee,Franmil Reyes(CLE),67,Nelson Cruz(TB),73,Josh Bell(WSH),74,214,Anthony Rendon(LAA),34
Randy,Carlos Correa(HOU),72,Joey Gallo(NYY),68,Xander Bogaerts(BOS),70,210,Cody Bellinger(LAD),32
Wie,Freddie Freeman(ATL),72,Christian Yelich(MIL),41,Kyle Tucker(HOU),76,189,Alex Bregman(HOU),35
Arnie,Juan Soto(WSH),77,Eric Hosmer(SD),55,Eddie Rosario(ATL),51,183,Corey Seager(LAD),38
Tom,Marcell Ozuna(ATL),26,Eugenio Suarez(CIN),69,Charlie Blackmon(COL),71,166,Jorge Soler(ATL),55
Gregg,Mike Trout(LAA),18,Matt Chapman(OAK),67,Rhys Hoskins(PHI),71,156,Mookie Betts(LAD),46
