Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Gregg,Manny Machado(SD),23,Nolan Arenado(STL),27,Giancarlo Stanton(NYY),31,81,Bo Bichette(TOR),14,Josh Bell(WSH),21
Rob,Pete Alonso(NYM),29,Jose Ramirez(CLE),32,Franmil Reyes(CLE),11,72,Jared Walsh(LAA),23,Eloy Jimenez(CWS),7
Chris,Bryce Harper(PHI),27,Freddie Freeman(LAD),13,Paul Goldschmidt(STL),17,57,George Springer(TOR),18,Mookie Betts(LAD),15
Zee,Juan Soto(WSH),11,Mike Trout(LAA),20,Shohei Ohtani(LAA),24,55,Trea Turner(LAD),22,Luis Robert(CWS),11
Efran,Teoscar Hernandez(TOR),7,Nick Castellanos(PHI),21,Aaron Judge(NYY),27,55,Jorge Polanco(MIN),20,Jesus Aguilar(MIA),17
Tom,Vladimir Guerrero(TOR),20,Austin Riley(ATL),15,Kyle Tucker(HOU),19,54,Eugenio Suarez(SEA),18,Tyler O'Neill(STL),19
Randy,Rafael Devers(BOS),18,Xander Bogaerts(BOS),13,Rhys Hoskins(PHI),17,48,Alex Bregman(HOU),21,Matt Chapman(TOR),15
Wie,Jose Abreu(CWS),12,Yordan Alvarez(HOU),21,Ozzie Albies(ATL),15,48,Marcell Ozuna(ATL),14,Javier Baez(DET),11
Kevin,Matt Olson(ATL),15,J.D. Martinez(BOS),16,Joey Gallo(NYY),5,36,Carlos Correa(MIN),11,Max Muncy(LAD),12
Brett,Salvador Perez(KC),14,Adam Duvall(ATL),15,Joey Votto(CIN),3,32,Mitch Haniger(SEA),7,Austin Meadows(DET),11
