Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Gregg,Manny Machado(SD),32,Nolan Arenado(STL),37,Giancarlo Stanton(NYY),35,104,Bo Bichette(TOR),27,Josh Bell(WSH),29
Randy,Rafael Devers(BOS),29,Xander Bogaerts(BOS),26,Rhys Hoskins(PHI),25,80,Alex Bregman(HOU),28,Matt Chapman(TOR),20
Tom,Vladimir Guerrero(TOR),29,Austin Riley(ATL),30,Kyle Tucker(HOU),29,88,Eugenio Suarez(SEA),28,Tyler O'Neill(STL),20
Chris,Bryce Harper(PHI),36,Freddie Freeman(LAD),30,Paul Goldschmidt(STL),47,113,George Springer(TOR),29,Mookie Betts(LAD),39
Brett,Salvador Perez(KC),19,Adam Duvall(ATL),18,Joey Votto(CIN),16,53,Mitch Haniger(SEA),7,Austin Meadows(DET),11
Wie,Jose Abreu(CWS),23,Yordan Alvarez(HOU),33,Ozzie Albies(ATL),22,78,Marcell Ozuna(ATL),23,Javier Baez(DET),13
Zee,Juan Soto(WSH),21,Mike Trout(LAA),28,Shohei Ohtani(LAA),32,81,Trea Turner(LAD),42,Luis Robert(CWS),19
Efran,Teoscar Hernandez(TOR),14,Nick Castellanos(PHI),28,Aaron Judge(NYY),42,84,Jorge Polanco(MIN),28,Jesus Aguilar(MIA),21
Rob,Pete Alonso(NYM),53,Jose Ramirez(CLE),53,Franmil Reyes(CLE),12,118,Jared Walsh(LAA),31,Eloy Jimenez(CWS),7
Kevin,Matt Olson(ATL),25,J.D. Martinez(BOS),23,Joey Gallo(NYY),7,55,Carlos Correa(MIN),16,Max Muncy(LAD),14
